x,y
4.155449988,5956.19
3.99270095,5785.19
0.873511172,1068.62
15.92904851,22831.99
16.48505532,23628.94
7.200283878,6634.17
2.886785011,4182.76
48.12808056,36079.69
83.78857881,120097.99
3.605434372,3618.73
2.739907758,3927.25
1.226916375,1232.44
19.81844398,11027.61
2.584333301,3158.69
74.3285629,106538.45
76.72217193,57220.86
72.53828944,40391.42
0.915720616,1312.6
3.507461704,5027.42
42.45173289,60847.99
19.5123324,23624.78
0.592786549,735.38
41.66998825,47143.26
4.198948679,5514.9
10.2804994,5866.78
4.703032305,6054.4
8.334836948,11946.81
1.523796865,2184.14
8.661423345,7821.91
8.441667536,12580.21
12.16914695,7192.93
44.95621113,25947.74
41.16542439,50051.32
3.719353865,2343.14
31.32924708,37931.1
106.2748192,152328.49
4.365267305,6505.57
14.24663845,20420.45
8.562202522,12272.58
3.827144183,5485.64
34.32819107,39531.34
3.886987438,5324.63
5.793306872,8264.69
2.494593586,3575.63
18.38637747,11392.37
1.430258108,2050.08
14.6133178,21173.74
4.261579941,6174.74
4.292992981,5231.74
88.26273265,89205.48
2.024921041,2902.4
19.15955368,11871.39
13.60292104,16641.16
54.64086935,31592.63
11.02442357,15801.88
28.67477735,17232.42
8.357140904,5744.95
32.54866302,36586.52
62.25707033,36710.6
10.55148249,6537.76
39.2007374,24272.7
44.53029637,25106.02
5.283863059,7649.13
106.3088868,97083.76
12.63265961,18106.35
14.74270539,17924.88
1.376657077,1984.94
23.13058001,27811.06
31.72418499,19409.4
12.73203333,16074.32
0.998976455,1431.83
10.63332103,13775.85
3.43977789,4984.02
1.242963381,1520.6
0.364944044,423.98
4.30090478,5552.16
13.27503174,19027.82
14.21977772,16304.8
10.58691103,15162.03
0.807078397,1151.37
1.971612363,1281.92
57.34042088,33430.23
5.211708289,7470.18
71.23388959,49053.47
4.107357342,2632.71
0.512959878,735.26
55.17567521,37051.29
1.08226151,1543.94
13.91983111,17013.32
4.218779395,5426.09
17.05778001,12445.74
20.56725637,29480.03
3.32497269,4817.69
0.512171156,540.49
6.066031753,3888.14
0.421192192,629
3.461743248,3627.05
52.87041744,64283.11
11.09492416,6874.53
13.57810557,15758.09
0.662382972,948.62
99.11936406,104911.48
1.174963106,1684.17
28.18516535,17348.9
0.741786964,1016.15
27.14304525,16230.33
8.898201709,10885.7
19.66686683,20978.8
7.695918855,11030.92
1.099264246,1364.92
3.498836213,5014.96
1.675971052,2428.36
14.24158219,20635.38
1.023661759,1467.3
10.93388581,13226.07
0.668889422,958.79
10.22341813,11866.26
1.484631232,2128.03
133.0392652,78448.03
14.3801832,16380.62
9.765372342,6050.74
0.820372748,1175.89
6.578942835,6538.57
28.04346322,17375.83
4.660905261,6753.28
25.96575055,17837.9
33.16111843,17919.24
10.36901217,10789.33
1.655321735,2023.23
3.531239359,5061.52
0.422913869,499.53
2.891290525,4144.3
12.03932823,17444.21
0.772201853,771.33
25.34945642,15706.51
8.410120093,5390.62
8.753564022,10698.95
31.33500242,38099.1
12.89214767,15282.91
8.798167941,5639.22
28.31475411,33310.89
20.80780548,12892.57
22.86960303,27952.14
5.328807186,7721.11
32.47524704,46546.13
0.374785231,508.07
83.55055995,47175.66
2.770658449,3538.23
22.56656031,32345.65
2.195986053,3031.11
4.348774341,6481.04
7.760174548,9493.45
26.10788462,24798.45
11.06747257,13443.41
17.79182291,25501.83
14.32705947,17346.67
9.45373043,10515.02
24.861288,14694.72
